feature1,feature2,correlation
sbytes,sloss,0.9977852006224117
sbytes,spkts,0.9938156286107797
dbytes,dloss,0.9992618763547148
dbytes,dpkts,0.9678614559954807
dttl,swin,0.9972947812452478
dttl,dwin,0.9972947812452478
dttl,proto_tcp,0.9972947812452404
dttl,state_FIN,0.9898608130583985
dttl,state_INT,0.9904978154874059
sloss,spkts,0.9952984357919232
dloss,dpkts,0.9669460254777321
swin,dwin,1.0
swin,proto_tcp,0.9999999999999982
swin,state_FIN,0.992547261729009
swin,state_INT,0.984537954231481
dwin,proto_tcp,0.9999999999999982
dwin,state_FIN,0.992547261729009
dwin,state_INT,0.984537954231481
trans_depth,ct_flw_http_mthd,0.9586436074653286
sjit,dintpkt,0.9321379770076939
stime,ltime,0.9999963252763613
tcprtt,synack,0.9479878788960504
tcprtt,ackdat,0.9360654261284559
ct_state_ttl,state_FIN,0.9147297715533513
is_ftp_login,ct_ftp_cmd_0,1.0000000000000027
is_ftp_login,ct_ftp_cmd_1,1.0000000000000029
ct_srv_src,ct_srv_dst,0.9260519411080306
ct_dst_ltm,ct_src_dport_ltm,0.9344232062328112
ct_dst_ltm,ct_dst_src_ltm,0.9599976626017974
ct_src_dport_ltm,ct_dst_src_ltm,0.9732004484896692
sport_0,dsport_0,1.0
sport_10000,dsport_2427,1.0
sport_10051,dsport_42645,1.0
sport_10481,dsport_30000,1.0
sport_10487,dsport_40007,1.0
sport_10521,dsport_2148,1.0
sport_1069,dsport_64551,1.0
sport_10723,dsport_1111,1.0
sport_10757,dsport_61561,1.0
sport_10852,dsport_52999,1.0
sport_10875,dsport_48968,1.0
sport_11429,dsport_3240,1.0
sport_1146,dsport_51192,1.0
sport_11473,dsport_36788,1.0
sport_11508,dsport_47252,1.0
sport_11528,dsport_53169,1.0
sport_11746,dsport_64065,1.0
sport_1179,dsport_6988,1.0
sport_11926,dsport_37552,1.0
sport_12080,dsport_43654,1.0
sport_1216,dsport_55875,1.0
sport_1229,dsport_39545,1.0
sport_123,dsport_123,1.0
sport_12371,dsport_43474,1.0
sport_12823,dsport_6458,1.0
sport_13175,dsport_27386,1.0
sport_13359,dsport_30029,1.0
sport_13368,dsport_2954,1.0
sport_13455,dsport_524,1.0
sport_137,dsport_137,0.930867734871758
sport_13713,dsport_62999,1.0
sport_13730,dsport_6660,1.0
sport_13926,dsport_3500,1.0
sport_13998,dsport_59076,1.0
sport_1408,dsport_64682,1.0
sport_14315,dsport_64661,1.0
sport_1434,dsport_61007,1.0
sport_14441,dsport_36399,1.0
sport_14451,dsport_63803,1.0
sport_14634,dsport_61534,1.0
sport_14841,dsport_3612,1.0
sport_14854,dsport_45077,1.0
sport_14859,dsport_54444,1.0
sport_14977,dsport_16000,1.0
sport_15015,dsport_17525,1.0
sport_15038,dsport_60693,1.0
sport_15841,dsport_63687,1.0
sport_15874,dsport_40857,1.0
sport_16186,dsport_8093,1.0
sport_16245,dsport_51674,1.0
sport_16355,dsport_64096,1.0
sport_1643,dsport_51243,1.0
sport_16546,dsport_8082,1.0
sport_16634,dsport_53393,1.0
sport_17061,dsport_64961,1.0
sport_17116,dsport_54329,1.0
sport_17117,dsport_49846,1.0
sport_17220,dsport_2967,1.0
sport_17431,dsport_6129,1.0
sport_17449,dsport_59497,1.0
sport_17490,dsport_59706,1.0
sport_17791,dsport_548,0.935373372762948
sport_18068,dsport_42884,1.0
sport_18114,dsport_921,1.0
sport_18178,dsport_34054,1.0
sport_18257,dsport_35019,1.0
sport_18323,dsport_6371,1.0
sport_18605,dsport_19980,1.0
sport_18795,dsport_19300,1.0
sport_18808,dsport_45847,1.0
sport_18825,dsport_29483,1.0
sport_1914,dsport_2055,1.0
sport_19568,dsport_1080,1.0
sport_20165,dsport_33060,1.0
sport_20224,dsport_51170,1.0
sport_20318,dsport_14455,1.0
sport_20576,dsport_24384,1.0
sport_20884,dsport_10202,1.0
sport_20898,dsport_20168,1.0
sport_20979,dsport_52060,1.0
sport_21027,dsport_808,1.0
sport_21115,dsport_1630,1.0
sport_21223,dsport_32780,1.0
sport_2146,dsport_14624,1.0
sport_21536,dsport_2930,1.0
sport_21917,dsport_12175,1.0
sport_2208,dsport_4559,1.0
sport_22113,dsport_54319,1.0
sport_22304,dsport_52678,1.0
sport_2253,dsport_65287,1.0
sport_22614,dsport_58868,1.0
sport_22787,dsport_49693,1.0
sport_22815,dsport_4467,1.0
sport_22974,dsport_1012,1.0
sport_23020,dsport_8182,1.0
sport_23206,dsport_42864,1.0
sport_23271,dsport_39205,1.0
sport_2328,dsport_52525,1.0
sport_23384,dsport_20001,1.0
sport_23533,dsport_8001,1.0
sport_23545,dsport_7824,1.0
sport_23575,dsport_54345,1.0
sport_23839,dsport_64583,1.0
sport_24219,dsport_52268,1.0
sport_24278,dsport_52846,1.0
sport_24490,dsport_22222,1.0
sport_25148,dsport_6070,1.0
sport_25234,dsport_58626,1.0
sport_25496,dsport_6014,1.0
sport_2559,dsport_14254,1.0
sport_26104,dsport_40319,1.0
sport_26201,dsport_56598,1.0
sport_26402,dsport_49260,1.0
sport_26415,dsport_46744,1.0
sport_26517,dsport_34573,1.0
sport_26634,dsport_33244,1.0
sport_26785,dsport_60119,1.0
sport_26946,dsport_26502,1.0
sport_2719,dsport_58297,1.0
sport_27421,dsport_45448,1.0
sport_27551,dsport_9191,1.0
sport_27591,dsport_15948,1.0
sport_27647,dsport_11682,1.0
sport_2778,dsport_20222,1.0
sport_27952,dsport_18820,1.0
sport_28029,dsport_60702,1.0
sport_28082,dsport_23573,1.0
sport_2819,dsport_1838,1.0
sport_28203,dsport_62285,1.0
sport_28374,dsport_64110,1.0
sport_28433,dsport_89,1.0
sport_28493,dsport_32832,1.0
sport_2857,dsport_63572,1.0
sport_2863,dsport_63306,1.0
sport_28634,dsport_54621,1.0
sport_28750,dsport_51917,1.0
sport_28762,dsport_2537,1.0
sport_28802,dsport_32596,1.0
sport_28911,dsport_15556,1.0
sport_2901,dsport_58464,1.0
sport_29049,dsport_11234,1.0
sport_29088,dsport_52366,1.0
sport_29101,dsport_30888,1.0
sport_2963,dsport_41584,1.0
sport_29671,dsport_56174,1.0
sport_30529,dsport_16843,1.0
sport_30571,dsport_49259,1.0
sport_30575,dsport_62934,1.0
sport_30589,dsport_14189,1.0
sport_30600,dsport_19810,1.0
sport_30624,dsport_14856,1.0
sport_30689,dsport_60696,1.0
sport_30709,dsport_34006,1.0
sport_31011,dsport_14681,1.0
sport_31200,dsport_5002,1.0
sport_31212,dsport_7777,1.0
sport_31331,dsport_21148,1.0
sport_31619,dsport_62793,1.0
sport_31947,dsport_64114,1.0
sport_32145,dsport_3690,1.0
sport_3257,dsport_57576,1.0
sport_3308,dsport_2513,1.0
sport_33245,dsport_32722,1.0
sport_33552,dsport_63607,1.0
sport_33728,dsport_10526,1.0
sport_33731,dsport_54870,1.0
sport_33758,dsport_52645,1.0
sport_34012,dsport_13701,1.0
sport_34082,dsport_8008,1.0
sport_34127,dsport_51918,1.0
sport_34189,dsport_15050,1.0
sport_3447,dsport_63251,1.0
sport_34470,dsport_1478,1.0
sport_34591,dsport_26274,1.0
sport_35067,dsport_4354,1.0
sport_3512,dsport_13843,1.0
sport_35289,dsport_24800,1.0
sport_3536,dsport_23476,1.0
sport_35988,dsport_21922,1.0
